input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_130.c	oracle	0	0.04	0.04	49316	MATCH
sa_csmith_130.c	lean	0	0.06	0.06	84332	MATCH
sa_csmith_131.c	oracle	124	15.04	15.04	629544	CERB_SKIP
sa_csmith_131.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_132.c	oracle	0	0.04	0.03	48816	MATCH
sa_csmith_132.c	lean	0	0.06	0.05	85344	MATCH
sa_csmith_133.c	oracle	0	1.19	1.18	90800	MATCH
sa_csmith_133.c	lean	0	3.45	3.45	108992	MATCH
sa_csmith_134.c	oracle	0	0.04	0.04	48916	MATCH
sa_csmith_134.c	lean	0	0.06	0.05	83776	MATCH
sa_csmith_135.c	oracle	0	0.07	0.07	51252	MATCH
sa_csmith_135.c	lean	0	0.15	0.14	85448	MATCH
sa_csmith_136.c	oracle	124	15.05	15.04	633020	CERB_SKIP
sa_csmith_136.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_137.c	oracle	0	0.07	0.06	59672	MATCH
sa_csmith_137.c	lean	0	0.15	0.15	102828	MATCH
sa_csmith_138.c	oracle	0	0.09	0.09	64472	MATCH
sa_csmith_138.c	lean	0	0.20	0.20	106528	MATCH
sa_csmith_139.c	oracle	0	0.04	0.04	49352	MATCH
sa_csmith_139.c	lean	0	0.06	0.05	83828	MATCH
sa_csmith_14.c	oracle	0	0.05	0.04	49128	MATCH
sa_csmith_14.c	lean	0	0.06	0.06	85028	MATCH
sa_csmith_140.c	oracle	124	15.04	15.04	585976	CERB_SKIP
sa_csmith_140.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_141.c	oracle	0	0.08	0.08	65736	MATCH
sa_csmith_141.c	lean	0	0.21	0.20	106532	MATCH
sa_csmith_142.c	oracle	124	15.04	15.04	539312	CERB_SKIP
sa_csmith_142.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_143.c	oracle	124	15.04	14.77	613644	CERB_SKIP
sa_csmith_143.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_144.c	oracle	0	0.04	0.04	48176	MATCH
sa_csmith_144.c	lean	0	0.07	0.06	83924	MATCH
sa_csmith_145.c	oracle	0	0.04	0.04	49728	MATCH
sa_csmith_145.c	lean	0	0.07	0.06	84312	MATCH
sa_csmith_146.c	oracle	124	15.04	15.04	648256	CERB_SKIP
sa_csmith_146.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_147.c	oracle	0	0.08	0.08	62076	MATCH
sa_csmith_147.c	lean	0	0.19	0.18	104948	MATCH
sa_csmith_148.c	oracle	124	15.04	15.03	527968	CERB_SKIP
sa_csmith_148.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_149.c	oracle	0	0.22	0.21	73096	MATCH
sa_csmith_149.c	lean	0	1.01	1.01	109588	MATCH
sa_csmith_15.c	oracle	124	15.05	15.04	665048	CERB_SKIP
sa_csmith_15.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_150.c	oracle	0	0.04	0.03	49888	MATCH
sa_csmith_150.c	lean	0	0.06	0.06	85100	MATCH
sa_csmith_151.c	oracle	124	15.02	15.02	305304	CERB_SKIP
sa_csmith_151.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_152.c	oracle	124	15.03	15.02	456016	CERB_SKIP
sa_csmith_152.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_153.c	oracle	0	0.04	0.03	48160	MATCH
sa_csmith_153.c	lean	0	0.07	0.06	84184	MATCH
sa_csmith_154.c	oracle	0	0.04	0.03	49208	MATCH
sa_csmith_154.c	lean	0	0.06	0.06	80200	MATCH
sa_csmith_155.c	oracle	124	15.05	15.04	636880	CERB_SKIP
sa_csmith_155.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_156.c	oracle	124	15.04	15.04	621320	CERB_SKIP
sa_csmith_156.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_157.c	oracle	124	15.04	15.04	601972	CERB_SKIP
sa_csmith_157.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_158.c	oracle	124	15.04	15.03	503708	CERB_SKIP
sa_csmith_158.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_159.c	oracle	0	0.04	0.03	49368	MATCH
sa_csmith_159.c	lean	0	0.06	0.06	84684	MATCH
sa_csmith_16.c	oracle	124	15.04	15.04	631392	CERB_SKIP
sa_csmith_16.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_160.c	oracle	0	0.04	0.04	49572	MATCH
sa_csmith_160.c	lean	0	0.07	0.06	84052	MATCH
sa_csmith_161.c	oracle	124	15.05	15.04	646532	CERB_SKIP
sa_csmith_161.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_162.c	oracle	0	1.50	1.50	102912	MATCH
sa_csmith_162.c	lean	0	4.11	4.10	117808	MATCH
sa_csmith_163.c	oracle	124	15.03	15.03	639332	CERB_SKIP
sa_csmith_163.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_164.c	oracle	0	0.04	0.04	49288	MATCH
sa_csmith_164.c	lean	0	0.06	0.06	84392	MATCH
sa_csmith_165.c	oracle	124	15.04	15.03	688048	CERB_SKIP
sa_csmith_165.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_166.c	oracle	0	0.04	0.04	48652	MATCH
sa_csmith_166.c	lean	0	0.06	0.06	85072	MATCH
sa_csmith_167.c	oracle	0	0.04	0.04	49180	MATCH
sa_csmith_167.c	lean	0	0.06	0.06	84800	MATCH
sa_csmith_168.c	oracle	0	0.09	0.08	69712	MATCH
sa_csmith_168.c	lean	0	0.22	0.21	114248	MATCH
sa_csmith_169.c	oracle	124	15.03	15.03	637436	CERB_SKIP
sa_csmith_169.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_17.c	oracle	124	15.04	15.03	637080	CERB_SKIP
sa_csmith_17.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_170.c	oracle	0	0.04	0.04	49448	MATCH
sa_csmith_170.c	lean	0	0.06	0.06	84136	MATCH
sa_csmith_171.c	oracle	0	0.04	0.04	48836	MATCH
sa_csmith_171.c	lean	0	0.06	0.06	84036	MATCH
sa_csmith_172.c	oracle	0	0.08	0.07	59804	MATCH
sa_csmith_172.c	lean	0	0.18	0.17	103772	MATCH
sa_csmith_173.c	oracle	0	0.10	0.10	65600	MATCH
sa_csmith_173.c	lean	0	0.27	0.26	108896	MATCH
sa_csmith_174.c	oracle	0	0.36	0.35	61832	MATCH
sa_csmith_174.c	lean	0	1.10	1.09	88420	MATCH
sa_csmith_175.c	oracle	124	15.03	15.02	622416	CERB_SKIP
sa_csmith_175.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_176.c	oracle	0	0.09	0.08	63388	MATCH
sa_csmith_176.c	lean	0	0.28	0.27	106300	MATCH
sa_csmith_177.c	oracle	124	15.02	15.02	409260	CERB_SKIP
sa_csmith_177.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_178.c	oracle	0	0.04	0.03	48924	MATCH
sa_csmith_178.c	lean	0	0.06	0.06	83956	MATCH
sa_csmith_179.c	oracle	124	15.04	15.03	644028	CERB_SKIP
sa_csmith_179.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_18.c	oracle	124	15.05	15.05	654308	CERB_SKIP
sa_csmith_18.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_180.c	oracle	0	0.47	0.46	82728	MATCH
sa_csmith_180.c	lean	0	2.39	2.39	115180	MATCH
sa_csmith_181.c	oracle	124	15.04	15.03	487188	CERB_SKIP
sa_csmith_181.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_182.c	oracle	0	0.38	0.37	80252	MATCH
sa_csmith_182.c	lean	0	1.50	1.49	110408	MATCH
sa_csmith_183.c	oracle	0	0.47	0.46	90252	MATCH
sa_csmith_183.c	lean	0	1.84	1.84	125608	MATCH
sa_csmith_184.c	oracle	124	15.05	15.04	666104	CERB_SKIP
sa_csmith_184.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_185.c	oracle	124	15.03	15.02	517808	CERB_SKIP
sa_csmith_185.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_186.c	oracle	124	15.05	15.04	629436	CERB_SKIP
sa_csmith_186.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_187.c	oracle	124	15.05	15.04	660300	CERB_SKIP
sa_csmith_187.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_188.c	oracle	124	15.04	15.03	613092	CERB_SKIP
sa_csmith_188.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_189.c	oracle	0	0.05	0.04	49432	MATCH
sa_csmith_189.c	lean	0	0.08	0.08	84356	MATCH
sa_csmith_19.c	oracle	0	0.09	0.09	63720	MATCH
sa_csmith_19.c	lean	0	0.22	0.22	106532	MATCH
sa_csmith_190.c	oracle	124	15.05	15.04	645572	CERB_SKIP
sa_csmith_190.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_191.c	oracle	0	0.04	0.04	48584	MATCH
sa_csmith_191.c	lean	0	0.07	0.06	84628	MATCH
sa_csmith_192.c	oracle	0	0.04	0.04	50252	MATCH
sa_csmith_192.c	lean	0	0.08	0.07	86212	MATCH
sa_csmith_193.c	oracle	0	0.04	0.04	49364	MATCH
sa_csmith_193.c	lean	0	0.06	0.05	84052	MATCH
sa_csmith_194.c	oracle	124	15.05	15.04	684008	CERB_SKIP
sa_csmith_194.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_195.c	oracle	0	0.08	0.08	62648	MATCH
sa_csmith_195.c	lean	0	0.22	0.21	104376	MATCH
sa_csmith_196.c	oracle	0	0.04	0.04	48212	MATCH
sa_csmith_196.c	lean	0	0.07	0.06	85160	MATCH
sa_csmith_197.c	oracle	0	5.89	5.88	297912	TIMEOUT
sa_csmith_197.c	lean	124	15.01	15.00	197220	TIMEOUT
sa_csmith_198.c	oracle	0	0.04	0.03	48340	MATCH
sa_csmith_198.c	lean	0	0.06	0.06	83744	MATCH
sa_csmith_199.c	oracle	124	15.04	15.04	619100	CERB_SKIP
sa_csmith_199.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_20.c	oracle	124	15.05	15.04	664276	CERB_SKIP
sa_csmith_20.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_200.c	oracle	124	15.05	15.04	645264	CERB_SKIP
sa_csmith_200.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_201.c	oracle	0	0.04	0.03	50056	MATCH
sa_csmith_201.c	lean	0	0.06	0.06	84212	MATCH
sa_csmith_202.c	oracle	124	15.05	15.04	672072	CERB_SKIP
sa_csmith_202.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_203.c	oracle	124	15.03	15.02	481036	CERB_SKIP
sa_csmith_203.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_204.c	oracle	124	15.05	15.04	656596	CERB_SKIP
sa_csmith_204.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_205.c	oracle	124	15.05	15.04	655348	CERB_SKIP
sa_csmith_205.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_206.c	oracle	124	15.05	15.04	644224	CERB_SKIP
sa_csmith_206.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_207.c	oracle	0	0.04	0.04	50216	MATCH
sa_csmith_207.c	lean	0	0.07	0.07	88048	MATCH
sa_csmith_208.c	oracle	124	15.04	15.04	597188	CERB_SKIP
sa_csmith_208.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_209.c	oracle	0	0.04	0.04	49136	MATCH
sa_csmith_209.c	lean	0	0.07	0.06	86708	MATCH
sa_csmith_21.c	oracle	0	0.04	0.03	49152	MATCH
sa_csmith_21.c	lean	0	0.06	0.05	84808	MATCH
sa_csmith_210.c	oracle	124	15.05	15.03	655748	CERB_SKIP
sa_csmith_210.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_211.c	oracle	124	15.05	15.03	663812	CERB_SKIP
sa_csmith_211.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_212.c	oracle	0	0.04	0.03	49384	MATCH
sa_csmith_212.c	lean	0	0.07	0.06	83964	MATCH
sa_csmith_213.c	oracle	0	0.04	0.04	49964	MATCH
sa_csmith_213.c	lean	0	0.08	0.07	87396	MATCH
sa_csmith_214.c	oracle	124	15.04	15.03	635856	CERB_SKIP
sa_csmith_214.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_215.c	oracle	0	0.04	0.04	48740	MATCH
sa_csmith_215.c	lean	0	0.07	0.06	83392	MATCH
sa_csmith_216.c	oracle	124	15.04	15.03	634528	CERB_SKIP
sa_csmith_216.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_217.c	oracle	124	15.04	15.03	678024	CERB_SKIP
sa_csmith_217.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_218.c	oracle	0	0.15	0.14	74920	MATCH
sa_csmith_218.c	lean	0	0.72	0.71	119424	MATCH
sa_csmith_219.c	oracle	124	15.05	15.04	647752	CERB_SKIP
sa_csmith_219.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_22.c	oracle	0	0.07	0.06	60896	MATCH
sa_csmith_22.c	lean	0	0.16	0.15	103196	MATCH
sa_csmith_220.c	oracle	124	15.02	15.02	375944	CERB_SKIP
sa_csmith_220.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_221.c	oracle	0	0.04	0.03	48700	MATCH
sa_csmith_221.c	lean	0	0.06	0.05	85256	MATCH
sa_csmith_222.c	oracle	124	15.04	15.04	641512	CERB_SKIP
sa_csmith_222.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_223.c	oracle	0	0.08	0.07	60264	MATCH
sa_csmith_223.c	lean	0	0.17	0.16	102312	MATCH
