repeat	probe	mode	engine	exit	wall_s	maxrss_kb	verdict	note	cpu_s
1	sa_csmith_419	nolibc	oracle	0	5.78	285116	VAL:Specified(222)x561	-	5.78
1	sa_csmith_419	nolibc	lean-exh	0	14.43	285424	VAL:Specified(222)x561	-	14.42
2	sa_csmith_419	nolibc	oracle	0	5.85	283324	VAL:Specified(222)x561	-	5.84
2	sa_csmith_419	nolibc	lean-exh	0	14.60	284096	VAL:Specified(222)x561	-	14.59
