input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_348.c	oracle	124	15.02	15.02	368096	CERB_SKIP
sa_csmith_348.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_349.c	oracle	0	0.04	0.03	48604	MATCH
sa_csmith_349.c	lean	0	0.07	0.06	87360	MATCH
sa_csmith_35.c	oracle	0	0.04	0.04	48452	MATCH
sa_csmith_35.c	lean	0	0.07	0.07	87420	MATCH
sa_csmith_350.c	oracle	0	0.10	0.10	67084	MATCH
sa_csmith_350.c	lean	0	0.26	0.25	120020	MATCH
sa_csmith_351.c	oracle	124	15.04	15.03	601812	CERB_SKIP
sa_csmith_351.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_352.c	oracle	0	0.08	0.08	62660	MATCH
sa_csmith_352.c	lean	0	0.19	0.18	116460	MATCH
sa_csmith_353.c	oracle	124	15.04	15.03	556908	CERB_SKIP
sa_csmith_353.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_354.c	oracle	0	0.04	0.04	47976	MATCH
sa_csmith_354.c	lean	0	0.07	0.07	84796	MATCH
sa_csmith_355.c	oracle	124	15.04	15.03	557424	CERB_SKIP
sa_csmith_355.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_356.c	oracle	0	0.04	0.03	48240	MATCH
sa_csmith_356.c	lean	0	0.07	0.06	86784	MATCH
sa_csmith_357.c	oracle	0	0.04	0.04	47740	MATCH
sa_csmith_357.c	lean	0	0.07	0.06	87488	MATCH
sa_csmith_358.c	oracle	0	0.10	0.09	66548	MATCH
sa_csmith_358.c	lean	0	0.23	0.22	119768	MATCH
sa_csmith_359.c	oracle	124	15.04	15.03	590160	CERB_SKIP
sa_csmith_359.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_36.c	oracle	124	15.04	15.03	597568	CERB_SKIP
sa_csmith_36.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_360.c	oracle	0	0.08	0.07	50644	MATCH
sa_csmith_360.c	lean	0	0.16	0.15	87032	MATCH
sa_csmith_361.c	oracle	124	15.04	15.03	581188	CERB_SKIP
sa_csmith_361.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_362.c	oracle	124	15.05	14.69	605544	CERB_SKIP
sa_csmith_362.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_363.c	oracle	124	15.05	15.05	687992	CERB_SKIP
sa_csmith_363.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_364.c	oracle	124	15.04	15.03	599372	CERB_SKIP
sa_csmith_364.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_365.c	oracle	124	15.04	15.04	657144	CERB_SKIP
sa_csmith_365.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_366.c	oracle	124	15.04	15.04	689160	CERB_SKIP
sa_csmith_366.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_367.c	oracle	0	0.04	0.03	48816	MATCH
sa_csmith_367.c	lean	0	0.07	0.06	87708	MATCH
sa_csmith_368.c	oracle	124	15.04	15.04	622008	CERB_SKIP
sa_csmith_368.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_369.c	oracle	0	4.40	4.40	230212	MATCH
sa_csmith_369.c	lean	0	10.84	10.84	253860	MATCH
sa_csmith_37.c	oracle	124	15.05	15.04	670300	CERB_SKIP
sa_csmith_37.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_370.c	oracle	124	15.04	15.04	634316	CERB_SKIP
sa_csmith_370.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_371.c	oracle	0	3.55	3.55	203304	MATCH
sa_csmith_371.c	lean	0	9.27	9.27	218792	MATCH
sa_csmith_372.c	oracle	124	15.04	15.03	645684	CERB_SKIP
sa_csmith_372.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_373.c	oracle	0	0.10	0.10	70060	MATCH
sa_csmith_373.c	lean	0	0.26	0.25	128172	MATCH
sa_csmith_374.c	oracle	124	15.05	15.04	661468	CERB_SKIP
sa_csmith_374.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_375.c	oracle	124	15.03	15.02	446460	CERB_SKIP
sa_csmith_375.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_376.c	oracle	0	0.41	0.41	79752	MATCH
sa_csmith_376.c	lean	0	0.99	0.98	127668	MATCH
sa_csmith_377.c	oracle	0	0.04	0.03	47712	MATCH
sa_csmith_377.c	lean	0	0.07	0.06	86900	MATCH
sa_csmith_378.c	oracle	124	15.04	15.03	642224	CERB_SKIP
sa_csmith_378.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_379.c	oracle	124	15.02	15.01	328288	CERB_SKIP
sa_csmith_379.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_38.c	oracle	124	15.04	15.03	659400	CERB_SKIP
sa_csmith_38.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_380.c	oracle	0	0.04	0.04	48632	MATCH
sa_csmith_380.c	lean	0	0.08	0.07	87408	MATCH
