input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_130.c	oracle	0	0.04	0.04	49124	MATCH
sa_csmith_130.c	lean	0	0.07	0.06	86848	MATCH
sa_csmith_131.c	oracle	124	15.04	15.03	630864	CERB_SKIP
sa_csmith_131.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_132.c	oracle	0	0.04	0.03	49316	MATCH
sa_csmith_132.c	lean	0	0.07	0.06	86988	MATCH
sa_csmith_133.c	oracle	0	1.15	1.15	91368	MATCH
sa_csmith_133.c	lean	0	2.92	2.91	112656	MATCH
sa_csmith_134.c	oracle	0	0.04	0.04	48860	MATCH
sa_csmith_134.c	lean	0	0.07	0.06	87500	MATCH
sa_csmith_135.c	oracle	0	0.07	0.07	50444	MATCH
sa_csmith_135.c	lean	0	0.14	0.14	87560	MATCH
sa_csmith_136.c	oracle	124	15.04	15.03	649344	CERB_SKIP
sa_csmith_136.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_137.c	oracle	0	0.07	0.06	60016	MATCH
sa_csmith_137.c	lean	0	0.15	0.15	108068	MATCH
sa_csmith_138.c	oracle	0	0.09	0.08	64880	MATCH
sa_csmith_138.c	lean	0	0.19	0.18	118908	MATCH
sa_csmith_139.c	oracle	0	0.04	0.03	48544	MATCH
sa_csmith_139.c	lean	0	0.07	0.06	87888	MATCH
sa_csmith_14.c	oracle	0	0.04	0.03	49220	MATCH
sa_csmith_14.c	lean	0	0.07	0.07	87492	MATCH
sa_csmith_140.c	oracle	124	15.04	15.04	598876	CERB_SKIP
sa_csmith_140.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_141.c	oracle	0	0.09	0.09	64208	MATCH
sa_csmith_141.c	lean	0	0.18	0.18	118448	MATCH
sa_csmith_142.c	oracle	124	15.04	15.03	573972	CERB_SKIP
sa_csmith_142.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_143.c	oracle	124	15.05	15.03	658376	CERB_SKIP
