input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_384.c	oracle	124	15.05	15.04	616220	CERB_SKIP
sa_csmith_384.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_385.c	oracle	0	0.04	0.03	49204	MATCH
sa_csmith_385.c	lean	0	0.08	0.08	83192	MATCH
sa_csmith_386.c	oracle	0	0.08	0.08	60516	MATCH
sa_csmith_386.c	lean	0	0.32	0.31	99212	MATCH
sa_csmith_387.c	oracle	0	0.09	0.09	67772	MATCH
sa_csmith_387.c	lean	0	0.22	0.22	109960	MATCH
sa_csmith_388.c	oracle	0	0.05	0.05	48908	MATCH
sa_csmith_388.c	lean	0	0.07	0.06	82764	MATCH
sa_csmith_389.c	oracle	124	15.04	15.03	593724	CERB_SKIP
sa_csmith_389.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_39.c	oracle	124	15.04	15.04	603344	CERB_SKIP
sa_csmith_39.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_390.c	oracle	0	0.04	0.03	49488	MATCH
sa_csmith_390.c	lean	0	0.08	0.08	82024	MATCH
sa_csmith_391.c	oracle	124	15.04	15.04	565160	CERB_SKIP
sa_csmith_391.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_392.c	oracle	0	0.04	0.03	48812	MATCH
sa_csmith_392.c	lean	0	0.07	0.06	81680	MATCH
sa_csmith_393.c	oracle	124	15.04	15.03	567764	CERB_SKIP
sa_csmith_393.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_394.c	oracle	0	0.04	0.04	49268	MATCH
sa_csmith_394.c	lean	0	0.09	0.08	81608	MATCH
sa_csmith_395.c	oracle	124	15.04	15.04	599836	CERB_SKIP
sa_csmith_395.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_396.c	oracle	0	0.08	0.08	60480	MATCH
sa_csmith_396.c	lean	0	0.20	0.20	100012	MATCH
sa_csmith_397.c	oracle	0	0.10	0.09	63384	MATCH
sa_csmith_397.c	lean	0	0.21	0.21	104868	MATCH
sa_csmith_398.c	oracle	0	0.05	0.05	48880	MATCH
sa_csmith_398.c	lean	0	0.07	0.07	81464	MATCH
sa_csmith_399.c	oracle	124	15.05	15.04	607412	CERB_SKIP
sa_csmith_399.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_40.c	oracle	0	0.04	0.04	48732	MATCH
sa_csmith_40.c	lean	0	0.07	0.06	82748	MATCH
sa_csmith_400.c	oracle	124	15.04	15.04	621908	CERB_SKIP
sa_csmith_400.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_401.c	oracle	124	15.04	15.04	632928	CERB_SKIP
sa_csmith_401.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_402.c	oracle	124	15.04	15.04	586660	CERB_SKIP
sa_csmith_402.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_403.c	oracle	0	0.06	0.06	50592	MATCH
sa_csmith_403.c	lean	0	0.13	0.13	84420	MATCH
sa_csmith_404.c	oracle	124	15.04	15.04	576872	CERB_SKIP
sa_csmith_404.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_405.c	oracle	124	15.05	15.04	614080	CERB_SKIP
sa_csmith_405.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_406.c	oracle	0	0.04	0.03	49148	MATCH
sa_csmith_406.c	lean	0	0.10	0.10	79548	MATCH
sa_csmith_407.c	oracle	0	0.04	0.04	49012	MATCH
sa_csmith_407.c	lean	0	0.08	0.07	81548	MATCH
sa_csmith_408.c	oracle	0	0.04	0.04	49492	MATCH
sa_csmith_408.c	lean	0	0.07	0.07	82120	MATCH
sa_csmith_409.c	oracle	0	0.09	0.09	62884	MATCH
sa_csmith_409.c	lean	0	0.20	0.20	103888	MATCH
sa_csmith_41.c	oracle	124	15.05	15.04	632184	CERB_SKIP
sa_csmith_41.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_410.c	oracle	124	15.05	15.04	626364	CERB_SKIP
sa_csmith_410.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_411.c	oracle	124	15.05	15.04	626104	CERB_SKIP
sa_csmith_411.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_412.c	oracle	124	15.04	15.04	554892	CERB_SKIP
sa_csmith_412.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_413.c	oracle	124	15.05	15.04	617532	CERB_SKIP
sa_csmith_413.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_414.c	oracle	124	15.03	15.02	358584	CERB_SKIP
sa_csmith_414.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_415.c	oracle	124	15.04	15.04	599700	CERB_SKIP
sa_csmith_415.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_416.c	oracle	124	15.04	15.03	539108	CERB_SKIP
sa_csmith_416.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_417.c	oracle	0	0.08	0.07	59140	MATCH
sa_csmith_417.c	lean	0	0.17	0.16	100396	MATCH
sa_csmith_418.c	oracle	124	15.04	15.03	601752	CERB_SKIP
sa_csmith_418.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_419.c	oracle	0	6.12	6.11	285280	TIMEOUT
sa_csmith_419.c	lean	124	15.00	15.00	265008	TIMEOUT
sa_csmith_42.c	oracle	0	0.08	0.08	62280	MATCH
sa_csmith_42.c	lean	0	0.18	0.17	102024	MATCH
sa_csmith_420.c	oracle	124	15.05	15.05	649840	CERB_SKIP
sa_csmith_420.c	lean	NA	NA	NA	NA	CERB_SKIP
