check_driver_fresh: oracle OK (bin 7336b2e35e761cd553dcd196e944da00bcd981a0a2c512d10926c3bb91723478, src 98ad48b592a222a21e4619c5ce03652fc6a44c0a67c6b02cb222e1d40b1c701d)
1/32 semantic_agreement: verify/c3a_accguard (pristine 0.0s, fork 0.0s)
2/32 semantic_agreement: verify/c3b_leaddigit (pristine 0.0s, fork 0.0s)
3/32 semantic_agreement: verify/c4_hexval (pristine 0.0s, fork 0.0s)
4/32 semantic_agreement: verify/c5_pcthi (pristine 0.0s, fork 0.0s)
5/32 semantic_agreement: verify/c9_arrw (pristine 0.0s, fork 0.0s)
6/32 semantic_agreement: verify/e1_clamp (pristine 0.0s, fork 0.0s)
7/32 semantic_agreement: verify/e2_abs (pristine 0.0s, fork 0.0s)
8/32 semantic_agreement: verify/e3_scale (pristine 0.0s, fork 0.0s)
9/32 semantic_agreement: verify/e4_isdigit (pristine 0.0s, fork 0.0s)
10/32 semantic_agreement: verify/e5_ismark (pristine 0.0s, fork 0.0s)
11/32 semantic_agreement: verify/m1_sgn (pristine 0.0s, fork 0.0s)
12/32 semantic_agreement: verify/t1_id (pristine 0.0s, fork 0.0s)
13/32 semantic_agreement: verify/t2_add (pristine 0.0s, fork 0.0s)
14/32 semantic_agreement: verify/t3_roundtrip (pristine 0.0s, fork 0.0s)
15/32 semantic_agreement: verify/t4_struct_member (pristine 0.0s, fork 0.0s)
16/32 semantic_agreement: verify/t5_sum (pristine 0.0s, fork 0.0s)
17/32 semantic_agreement: verify/t6_branch (pristine 0.0s, fork 0.0s)
18/32 semantic_agreement: verify/t7_flip (pristine 0.0s, fork 0.0s)
19/32 semantic_agreement: verify/x2_break (pristine 0.0s, fork 0.0s)
20/32 semantic_agreement: verify/x3_call (pristine 0.0s, fork 0.0s)
21/32 semantic_agreement: verify/x7_earlyret (pristine 0.0s, fork 0.0s)
22/32 semantic_agreement: verify/z1_chain (pristine 0.0s, fork 0.0s)
23/32 semantic_agreement: verify/z2_bool_param (pristine 0.0s, fork 0.0s)
24/32 semantic_agreement: verify/z2_errno_order (pristine 0.0s, fork 0.0s)
25/32 semantic_agreement: verify/z2_wide (pristine 0.0s, fork 0.0s)
26/32 semantic_agreement: corpus/p01_clamp (pristine 0.0s, fork 0.0s)
27/32 semantic_agreement: corpus/p02_sat_add (pristine 0.0s, fork 0.0s)
28/32 semantic_agreement: corpus/p03_swap_mayalias (pristine 0.0s, fork 0.0s)
29/32 semantic_agreement: corpus/p09_call_contract (pristine 0.0s, fork 0.0s)
30/32 semantic_agreement: corpus/p10_gcd_rec (pristine 0.0s, fork 0.0s)
31/32 semantic_agreement: corpus/p11_gcd_iter (pristine 0.0s, fork 0.0s)
32/32 semantic_agreement: corpus/p12_pt_midpoint (pristine 0.0s, fork 0.0s)
Independent oracle scope: subset (--only); 32 rows in 3.2s; source unchanged: True
Independent oracle: subset_passed; {'semantic_agreement': 32}; /home/dev/projects/cerberus-lean-proj/worktrees/cerberus-lean-arc/pristine-oracle-instrument/.tmp/o1-measure/verify-corpus/report.json
