check_driver_fresh: oracle OK (bin 7336b2e35e761cd553dcd196e944da00bcd981a0a2c512d10926c3bb91723478, src 98ad48b592a222a21e4619c5ce03652fc6a44c0a67c6b02cb222e1d40b1c701d)
70/242 semantic_agreement: ci/0072-example03.c (pristine 0.0s, fork 0.0s)
71/242 semantic_agreement: ci/0073-example03.c (pristine 0.0s, fork 0.0s)
72/242 semantic_agreement: ci/0074-fun_returns.undef.c (pristine 0.0s, fork 0.0s)
73/242 matching_failure: ci/0075-funscoped_static.error.c (pristine 0.0s, fork 0.0s)
74/242 semantic_agreement: ci/0076-odd_even.c (pristine 0.0s, fork 0.0s)
75/242 semantic_agreement: ci/0077-register_arg.c (pristine 0.0s, fork 0.0s)
76/242 semantic_agreement: ci/0078-struct1.c (pristine 0.0s, fork 0.0s)
77/242 matching_failure: ci/0079-struct2.error.c (pristine 0.0s, fork 0.0s)
78/242 semantic_agreement: ci/0080-struct3.c (pristine 0.0s, fork 0.0s)
79/242 semantic_agreement: ci/0081-struct4.c (pristine 0.0s, fork 0.0s)
80/242 semantic_agreement: ci/0082-OK1.c (pristine 0.0s, fork 0.0s)
81/242 semantic_agreement: ci/0083-array_initializers.c (pristine 0.0s, fork 0.0s)
82/242 matching_failure: ci/0084-KO1.error.c (pristine 0.0s, fork 0.0s)
83/242 semantic_agreement: ci/0085-excess_array_initializer.c (pristine 0.0s, fork 0.0s)
84/242 semantic_agreement: ci/0086-literal_access.undef.c (pristine 0.0s, fork 0.0s)
85/242 semantic_agreement: ci/0087-array_with_delayed_size.c (pristine 0.0s, fork 0.0s)
86/242 semantic_agreement: ci/0101-sym_cfunction.c (pristine 0.0s, fork 0.0s)
87/242 semantic_agreement: ci/0105-incr.c (pristine 0.0s, fork 0.0s)
88/242 semantic_agreement: ci/0108-shifts.c (pristine 0.0s, fork 0.0s)
89/242 semantic_agreement: ci/0109-promotion_lt.c (pristine 0.0s, fork 0.0s)
90/242 semantic_agreement: ci/0110-loop_in_loop.c (pristine 0.0s, fork 0.0s)
91/242 semantic_agreement: ci/0111-skipped_label.c (pristine 0.0s, fork 0.0s)
92/242 semantic_agreement: ci/0112-call_in_label.c (pristine 0.0s, fork 0.0s)
93/242 matching_failure: ci/0113-cast_assign_parsing.error.c (pristine 0.0s, fork 0.0s)
94/242 matching_failure: ci/0114-const_return.error.c (pristine 0.0s, fork 0.0s)
95/242 semantic_agreement: ci/0115-hex_char_const.c (pristine 0.0s, fork 0.0s)
96/242 semantic_agreement: ci/0116-enum_constants.c (pristine 0.0s, fork 0.0s)
97/242 matching_failure: ci/0117-global_array_init_incomplete.error.c (pristine 0.0s, fork 0.0s)
98/242 matching_failure: ci/0118-block_array_init_incomplete.error.c (pristine 0.0s, fork 0.0s)
99/242 semantic_agreement: ci/0119-block_array_init_rec.c (pristine 0.0s, fork 0.0s)
100/242 difference: ci/0120-addition_null_pointer.error.c (pristine 0.0s, fork 0.0s)
101/242 difference: ci/0121-addition_null_pointer_zero.error.c (pristine 0.0s, fork 0.0s)
102/242 semantic_agreement: ci/0122-incr_overflow.undef.c (pristine 0.0s, fork 0.0s)
103/242 semantic_agreement: ci/0123-decr_underflow.undef.c (pristine 0.0s, fork 0.0s)
104/242 semantic_agreement: ci/0124-incr_wrap.c (pristine 0.0s, fork 0.0s)
105/242 semantic_agreement: ci/0125-decr_wrap.c (pristine 0.0s, fork 0.0s)
106/242 semantic_agreement: ci/0126-duff_device.c (pristine 0.0s, fork 0.0s)
107/242 semantic_agreement: ci/0127-function-pointer.c (pristine 0.0s, fork 0.0s)
108/242 semantic_agreement: ci/0128-function-pointer-void-cast.c (pristine 0.0s, fork 0.0s)
109/242 semantic_agreement: ci/0129-function-pointer-wrong-args.undef.c (pristine 0.0s, fork 0.0s)
110/242 semantic_agreement: ci/0201-main-return-type.undef.c (pristine 0.0s, fork 0.0s)
111/242 semantic_agreement: ci/0202-main-not-function.undef.c (pristine 0.0s, fork 0.0s)
112/242 semantic_agreement: ci/0203-main-params1.undef.c (pristine 0.0s, fork 0.0s)
113/242 semantic_agreement: ci/0204-main-params2.undef.c (pristine 0.0s, fork 0.0s)
114/242 matching_failure: ci/0205-illegal-storage-class.error.c (pristine 0.0s, fork 0.0s)
115/242 semantic_agreement: ci/0206-no-linkage-block-incomplete.undef.c (pristine 0.0s, fork 0.0s)
116/242 semantic_agreement: ci/0207-incomplete-internal-linkage.undef.c (pristine 0.0s, fork 0.0s)
117/242 semantic_agreement: ci/0208-static-assert-not-integral-constant.undef.c (pristine 0.0s, fork 0.0s)
118/242 matching_failure: ci/0209-static-assert-failed.error.c (pristine 0.0s, fork 0.0s)
119/242 matching_failure: ci/0210-illegal-storage-class-function.error.c (pristine 0.0s, fork 0.0s)
120/242 matching_failure: ci/0211-function-id-not-function-type.error.c (pristine 0.0s, fork 0.0s)
121/242 matching_failure: ci/0212-function-redefinition.error.c (pristine 0.0s, fork 0.0s)
122/242 matching_failure: ci/0213-label-statement-outside-switch.error.c (pristine 0.0s, fork 0.0s)
123/242 matching_failure: ci/0214-illegal-storage-class-for-statement.error.c (pristine 0.0s, fork 0.0s)
124/242 matching_failure: ci/0215-continue-outside-loop.error.c (pristine 0.0s, fork 0.0s)
125/242 matching_failure: ci/0216-break-outside-loop.error.c (pristine 0.0s, fork 0.0s)
126/242 matching_failure: ci/0217-non-void-function-return.error.c (pristine 0.0s, fork 0.0s)
127/242 matching_failure: ci/0218-multiple-storage-class.error.c (pristine 0.0s, fork 0.0s)
128/242 matching_failure: ci/0219-thread-local-function-declaration.error.c (pristine 0.0s, fork 0.0s)
129/242 matching_failure: ci/0220-thread-local-auto.error.c (pristine 0.0s, fork 0.0s)
130/242 semantic_agreement: ci/0221-block-scoped-function-decl-illegal-storage-class.undef.c (pristine 0.0s, fork 0.0s)
131/242 semantic_agreement: ci/0222-scalar-init-not-single-expr.undef.c (pristine 0.0s, fork 0.0s)
132/242 matching_failure: ci/0223-illegal-storage-class-static-init.error.c (pristine 0.0s, fork 0.0s)
133/242 matching_failure: ci/0224-enum-not-int.error.c (pristine 0.0s, fork 0.0s)
134/242 matching_failure: ci/0225-incomplete-field.error.c (pristine 0.0s, fork 0.0s)
135/242 matching_failure: ci/0226-function-field.error.c (pristine 0.0s, fork 0.0s)
136/242 matching_failure: ci/0227-illegal-type-specs.error.c (pristine 0.0s, fork 0.0s)
137/242 matching_failure: ci/0228-tag-redecl.error.c (pristine 0.0s, fork 0.0s)
