check_driver_fresh: oracle OK (bin 7336b2e35e761cd553dcd196e944da00bcd981a0a2c512d10926c3bb91723478, src 98ad48b592a222a21e4619c5ce03652fc6a44c0a67c6b02cb222e1d40b1c701d)
72/855 semantic_agreement: minimal/072-out-of-bounds.undef.c (pristine 0.0s, fork 0.0s)
73/855 semantic_agreement: minimal/073-exit.libc.c (pristine 0.0s, fork 0.0s)
74/855 semantic_agreement: minimal/074-abort.libc.c (pristine 0.0s, fork 0.0s)
75/855 semantic_agreement: minimal/075-main-argc-argv.c (pristine 0.0s, fork 0.0s)
76/855 semantic_agreement: minimal/076-main-argv-access.c (pristine 0.0s, fork 0.0s)
77/855 semantic_agreement: minimal/077-bool-trap.undef.c (pristine 0.0s, fork 0.0s)
78/855 semantic_agreement: minimal/078-float-special.c (pristine 0.0s, fork 0.0s)
79/855 semantic_agreement: minimal/079-unseq-simple.c (pristine 0.0s, fork 0.0s)
80/855 semantic_agreement: minimal/080-unseq-reads-only.c (pristine 0.0s, fork 0.0s)
81/855 semantic_agreement: minimal/081-unseq-diff-locations.c (pristine 0.0s, fork 0.0s)
82/855 semantic_agreement: minimal/082-unseq-race.undef.c (pristine 0.0s, fork 0.0s)
83/855 semantic_agreement: minimal/083-unseq-nested-assign.undef.c (pristine 0.0s, fork 0.0s)
84/855 semantic_agreement: minimal/084-unseq-two-writes.undef.c (pristine 0.0s, fork 0.0s)
85/855 semantic_agreement: minimal/085-unseq-comma-seq.c (pristine 0.0s, fork 0.0s)
86/855 semantic_agreement: minimal/086-unseq-comma-writes.c (pristine 0.0s, fork 0.0s)
87/855 semantic_agreement: minimal/087-unseq-increment.undef.c (pristine 0.0s, fork 0.0s)
88/855 semantic_agreement: minimal/088-unseq-postinc-read.undef.c (pristine 0.0s, fork 0.0s)
89/855 semantic_agreement: minimal/089-unseq-func-args.undef.c (pristine 0.0s, fork 0.0s)
90/855 semantic_agreement: minimal/090-unseq-func-args-ok.c (pristine 0.0s, fork 0.0s)
91/855 semantic_agreement: minimal/091-unseq-nested-complex.undef.c (pristine 0.0s, fork 0.0s)
92/855 semantic_agreement: minimal/092-unseq-comma-plus.undef.c (pristine 0.0s, fork 0.0s)
93/855 semantic_agreement: minimal/093-nd-choice.c (pristine 0.0s, fork 0.0s)
94/855 semantic_agreement: minimal/094-bool-conversion.c (pristine 0.0s, fork 0.0s)
95/855 semantic_agreement: minimal/095-unsigned-div-zero.undef.c (pristine 0.0s, fork 0.0s)
