input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_130.c	oracle	0	0.04	0.03	49328	MATCH
sa_csmith_130.c	lean	0	0.06	0.06	84060	MATCH
sa_csmith_131.c	oracle	124	15.04	15.04	641868	CERB_SKIP
sa_csmith_131.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_132.c	oracle	0	0.04	0.03	50028	MATCH
sa_csmith_132.c	lean	0	0.06	0.05	83768	MATCH
sa_csmith_133.c	oracle	0	1.15	1.15	91204	MATCH
sa_csmith_133.c	lean	0	3.09	3.09	109332	MATCH
sa_csmith_134.c	oracle	0	0.04	0.03	49024	MATCH
sa_csmith_134.c	lean	0	0.06	0.06	83676	MATCH
sa_csmith_135.c	oracle	0	0.07	0.07	51284	MATCH
sa_csmith_135.c	lean	0	0.14	0.14	83876	MATCH
sa_csmith_136.c	oracle	124	15.04	15.04	630464	CERB_SKIP
sa_csmith_136.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_137.c	oracle	0	0.07	0.07	60144	MATCH
sa_csmith_137.c	lean	0	0.15	0.14	102036	MATCH
sa_csmith_138.c	oracle	0	0.08	0.08	65636	MATCH
sa_csmith_138.c	lean	0	0.19	0.18	106168	MATCH
sa_csmith_139.c	oracle	0	0.04	0.03	49544	MATCH
sa_csmith_139.c	lean	0	0.06	0.06	83216	MATCH
sa_csmith_14.c	oracle	0	0.04	0.03	49620	MATCH
sa_csmith_14.c	lean	0	0.07	0.06	83500	MATCH
sa_csmith_140.c	oracle	124	15.04	15.03	603848	CERB_SKIP
sa_csmith_140.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_141.c	oracle	0	0.09	0.08	64812	MATCH
sa_csmith_141.c	lean	0	0.17	0.16	106500	MATCH
sa_csmith_142.c	oracle	124	15.04	15.03	555900	CERB_SKIP
sa_csmith_142.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_143.c	oracle	124	15.04	15.03	658720	CERB_SKIP
sa_csmith_143.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_144.c	oracle	0	0.04	0.03	49544	MATCH
sa_csmith_144.c	lean	0	0.06	0.06	83896	MATCH
sa_csmith_145.c	oracle	0	0.04	0.04	49336	MATCH
sa_csmith_145.c	lean	0	0.06	0.06	83376	MATCH
sa_csmith_146.c	oracle	124	15.04	15.03	659144	CERB_SKIP
sa_csmith_146.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_147.c	oracle	0	0.08	0.08	62620	MATCH
sa_csmith_147.c	lean	0	0.17	0.16	104212	MATCH
sa_csmith_148.c	oracle	124	15.03	15.02	537120	CERB_SKIP
sa_csmith_148.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_149.c	oracle	0	0.22	0.21	72516	MATCH
sa_csmith_149.c	lean	0	0.53	0.52	109084	MATCH
sa_csmith_15.c	oracle	124	15.05	15.04	669280	CERB_SKIP
