speclab	tests/speclab/lookup_d.c	OK	D1=1	D2=1	loops=3	consts=2	regions=11
speclab	tests/speclab/lookup_plant.c	OK	D1=1	D2=1	loops=3	consts=2	regions=11
speclab	tests/speclab/memcpy_a.c	OK	D1=1	D2=2	loops=6	consts=2	regions=16
speclab	tests/speclab/memcpy_b.c	OK	D1=1	D2=2	loops=6	consts=2	regions=16
speclab	tests/speclab/memcpy_c.c	OK	D1=1	D2=2	loops=6	consts=2	regions=16
speclab	tests/speclab/memcpy_d.c	OK	D1=1	D2=2	loops=6	consts=2	regions=16
speclab	tests/speclab/memcpy_plant.c	OK	D1=1	D2=2	loops=6	consts=2	regions=16
speclab	tests/speclab/pairswap_a.c	OK	D1=1	D2=3	loops=5	consts=2	regions=10
speclab	tests/speclab/pairswap_b.c	OK	D1=1	D2=3	loops=5	consts=2	regions=10
speclab	tests/speclab/pairswap_c.c	OK	D1=1	D2=3	loops=5	consts=2	regions=10
speclab	tests/speclab/pairswap_d.c	OK	D1=1	D2=3	loops=5	consts=2	regions=10
speclab	tests/speclab/pairswap_plant.c	OK	D1=1	D2=3	loops=5	consts=2	regions=10
speclab	tests/speclab/rotate_a.c	OK	D1=0	D2=1	loops=3	consts=0	regions=39
speclab	tests/speclab/rotate_b.c	OK	D1=0	D2=1	loops=3	consts=0	regions=39
speclab	tests/speclab/rotate_build.c	OK	D1=0	D2=1	loops=3	consts=0	regions=37
speclab	tests/speclab/rotate_c.c	OK	D1=0	D2=1	loops=3	consts=0	regions=39
speclab	tests/speclab/rotate_d.c	OK	D1=0	D2=1	loops=3	consts=0	regions=39
speclab	tests/speclab/rotate_deep.c	OK	D1=0	D2=1	loops=3	consts=0	regions=39
speclab	tests/speclab/rotate_dropplant.c	OK	D1=0	D2=1	loops=3	consts=0	regions=39
speclab	tests/speclab/rotate_root.c	OK	D1=0	D2=1	loops=3	consts=0	regions=39
speclab	tests/speclab/rotate_swapplant.c	OK	D1=0	D2=1	loops=3	consts=0	regions=39
libc	runtime/libc/src/ctype.c	OK	D1=0	D2=0	loops=0	consts=0	regions=14
libc	runtime/libc/src/internal.c	OK	D1=0	D2=17	loops=34	consts=0	regions=114
libc	runtime/libc/src/locale.c	ERROR	D1=0	D2=0	loops=0	consts=0	regions=0
libc	runtime/libc/src/math.c	OK	D1=0	D2=2	loops=6	consts=0	regions=33
libc	runtime/libc/src/signal.c	OK	D1=0	D2=0	loops=0	consts=0	regions=6
libc	runtime/libc/src/stat.c	OK	D1=0	D2=1	loops=3	consts=0	regions=11
libc	runtime/libc/src/stdio.c	OK	D1=0	D2=8	loops=8	consts=0	regions=119
libc	runtime/libc/src/stdlib.c	OK	D1=0	D2=14	loops=20	consts=0	regions=97
libc	runtime/libc/src/string.c	OK	D1=0	D2=16	loops=29	consts=0	regions=63
libc	runtime/libc/src/time.c	OK	D1=0	D2=0	loops=0	consts=0	regions=5
libc	runtime/libc/src/uio.c	OK	D1=0	D2=2	loops=2	consts=0	regions=8
libc	runtime/libc/src/unistd.c	OK	D1=0	D2=1	loops=3	consts=0	regions=16
libc	runtime/libc/src/utime.c	OK	D1=0	D2=0	loops=0	consts=0	regions=7
libc	runtime/libc/src/vfscanf.c	OK	D1=0	D2=10	loops=13	consts=0	regions=46
fixtures	tests/fixtures/001-return-literal/source.c	OK	D1=0	D2=0	loops=0	consts=0	regions=1
fixtures	tests/fixtures/003-arith-add/source.c	OK	D1=0	D2=0	loops=0	consts=0	regions=1
fixtures	tests/fixtures/007-local-var/source.c	OK	D1=0	D2=0	loops=0	consts=0	regions=1
fixtures	tests/fixtures/011-if-else/source.c	OK	D1=0	D2=0	loops=0	consts=0	regions=3
fixtures	tests/fixtures/014-while-simple/source.c	OK	D1=0	D2=1	loops=1	consts=0	regions=2
fixtures	tests/fixtures/016-func-simple/source.c	OK	D1=0	D2=0	loops=0	consts=0	regions=2
fixtures	tests/fixtures/021-pointer-basic/source.c	OK	D1=0	D2=0	loops=0	consts=0	regions=1
fixtures	tests/fixtures/023-array-read/source.c	OK	D1=0	D2=0	loops=0	consts=0	regions=1
fixtures	tests/fixtures/025-struct-basic/source.c	OK	D1=0	D2=0	loops=0	consts=0	regions=2
fixtures	tests/fixtures/100-int-wrap-unsigned/source.c	OK	D1=0	D2=0	loops=0	consts=0	regions=1
